Ticker,Name,Sector,Weight(%)
COLM,COLUMBIA SPORTSWEAR,Consumer Discretionary,0.01
BFA,BROWN FORMAN CORP CLASS A,Consumer Staples,0.01
MUSA,MURPHY USA INC,Consumer Discretionary,0.01
WHD,CACTUS INC CLASS A,Energy,0.01
CW,CURTISS WRIGHT CORP,Industrials,0.01
CHE,CHEMED CORP,Health Care,0.01
WING,WINGSTOP INC,Consumer Discretionary,0.01
BCC,BOISE CASCADE,Industrials,0.01
GOLF,ACUSHNET HOLDINGS CORP,Consumer Discretionary,0.01
IR,INGERSOLL RAND INC,Industrials,0.01
CHDN,CHURCHILL DOWNS INC,Consumer Discretionary,0.01
GFF,GRIFFON CORP,Industrials,0.01
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,0.01
NPO,ENPRO INC,Industrials,0.01
FULT,FULTON FINANCIAL CORP,Financials,0.01
BCPC,BALCHEM CORP,Materials,0.01
AAON,AAON INC,Industrials,0.01
HEIA,HEICO CORP CLASS A,Industrials,0.00
CSWI,CSW INDUSTRIALS INC,Industrials,0.00
ENSG,ENSIGN GROUP INC,Health Care,0.00
KAI,KADANT INC,Industrials,0.00
KNSL,KINSALE CAPITAL GROUP INC,Financials,0.00
HEI,HEICO CORP,Industrials,0.00
RUSHB,RUSH ENTERPRISES INC CLASS B,Industrials,0.00
ESH5,S&P500 EMINI MAR 25,Cash and/or Derivatives,0.00
